solution_id,model_type,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
1,LogisticRegression,0.06081438403351859,0.06202201525634326,472,11,3.28024468035746,0.3388705975083074,0.5133052339079198,0.02392344497607657,0.09656073528323349,0.9760765550239234,0.4866947660920802,0.02392344497607657,0.09656073528323349
2,LogisticRegression,2.4370551632385427,0.016634919720361536,384,11,3.809936335948437,0.44379646048790206,0.5242636498777999,0.05864311127469024,0.055599482062086196,0.9413568887253098,0.47573635012220006,0.05864311127469024,0.055599482062086196
3,LogisticRegression,0.16821470258034152,0.11698629948348792,128,7,1.5082420506075391,0.6746919954946937,0.649998380263693,0.1675867991657465,0.08156185917769967,0.8324132008342535,0.35000161973630695,0.1675867991657465,0.08156185917769967
4,LogisticRegression,6.548060708583787,0.2651925093374426,194,2,1.1631005662190557,0.6621402567824255,0.6285404736108962,0.16844558949822108,0.05231457564509991,0.8315544105017789,0.37145952638910384,0.16844558949822108,0.05231457564509991
5,LogisticRegression,2.436109284179989,0.013207930223653687,362,11,4.268888800804863,0.5848716885390144,0.5698862225229733,0.13151760520181566,0.05560132172678904,0.8684823947981843,0.4301137774770267,0.13151760520181566,0.05560132172678904
6,LogisticRegression,2.4370551632385427,0.11698629948348792,384,15,3.809936335948437,0.44379646048790206,0.5242636498777999,0.05864311127469024,0.055599482062086196,0.9413568887253098,0.47573635012220006,0.05864311127469024,0.055599482062086196
7,LogisticRegression,0.12001913440860316,0.039230367060617145,420,7,3.4257162386383597,0.30367882064665186,0.5080500894454383,0.00920132499079862,0.08637366579618885,0.9907986750092014,0.4919499105545617,0.00920132499079862,0.08637366579618885
8,LogisticRegression,0.16821470258034152,0.11698629948348792,341,4,1.5082420506075391,0.6746919954946937,0.649998380263693,0.1675867991657465,0.08156185917769967,0.8324132008342535,0.35000161973630695,0.1675867991657465,0.08156185917769967
9,LogisticRegression,0.11444682032324735,0.1532742151313575,397,3,2.4338629141770904,0.34634762381005185,0.5266122675228473,0.06784443626548886,0.08706668325917154,0.9321555637345111,0.4733877324771527,0.06784443626548886,0.08706668325917154
10,LogisticRegression,2.4370551632385427,0.03757677325069149,362,11,4.268888800804863,0.44379646048790206,0.5221381959017072,0.03619187829714143,0.055599482062086196,0.9638081217028586,0.4778618040982928,0.03619187829714143,0.055599482062086196
11,LogisticRegression,6.548060708583787,0.2651925093374426,397,2,3.989883752535026,0.3601667564414113,0.5107334525939177,0.0161943319838056,0.05231457564509991,0.9838056680161944,0.48926654740608233,0.0161943319838056,0.05231457564509991
12,LogisticRegression,2.436109284179989,0.013207930223653687,195,11,4.268888800804863,0.5848716885390144,0.5698862225229733,0.13151760520181566,0.05560132172678904,0.8684823947981843,0.4301137774770267,0.13151760520181566,0.05560132172678904
13,LogisticRegression,0.06081438403351859,0.13428283846533368,346,9,3.28024468035746,0.4470863212237734,0.5349989021787254,0.09483498957183167,0.09656073528323349,0.9051650104281683,0.46500109782127463,0.09483498957183167,0.09656073528323349
14,LogisticRegression,8.56202011825092,0.007584983411141305,397,7,3.4230992774275486,0.3948907166943978,0.5230326502845337,0.038522880628143796,0.05179898331153404,0.9614771193718562,0.4769673497154663,0.038522880628143796,0.05179898331153404
15,RandomForest,0.06078752554331511,0.006296304808966361,61,2,1.1631005662190557,0.6621402567824255,0.5311853230294108,0.03337013863329653,0.3085555555555555,0.9666298613667035,0.4688146769705892,0.03337013863329653,0.3085555555555555
16,LogisticRegression,1.5014555442537663,0.11698629948348792,194,15,3.2864507578795994,0.41199163746411366,0.5240404862088452,0.060115323273218,0.05831292141366825,0.939884676726782,0.47595951379115475,0.060115323273218,0.05831292141366825
17,LogisticRegression,0.06081438403351859,0.13428283846533368,346,9,3.28024468035746,0.4470863212237734,0.5349989021787254,0.09483498957183167,0.09656073528323349,0.9051650104281683,0.46500109782127463,0.09483498957183167,0.09656073528323349
18,LogisticRegression,2.4370551632385427,0.013493332849990129,362,11,3.824968908625985,0.44379646048790206,0.5233691954949734,0.06023800760642872,0.055599482062086196,0.9397619923935713,0.4766308045050266,0.06023800760642872,0.055599482062086196
19,XGBoost,0.9469707381426531,0.1532742151313575,239,5,1.10140297366183,0.4470863212237734,0.6400208046130089,0.1999754631333579,0.5237058776162895,0.8000245368666421,0.3599791953869911,0.1999754631333579,0.5237058776162895
20,LogisticRegression,3.3644174907539033,0.052315370109572754,472,6,3.28024468035746,0.4505038342123663,0.5367878109443782,0.09949699423383629,0.05423806919353209,0.9005030057661637,0.4632121890556218,0.09949699423383629,0.05423806919353209
21,LogisticRegression,0.06081438403351859,0.006296304808966361,387,7,3.343102325093853,0.3536060913802563,0.5141996882907462,0.022328548644338087,0.09656073528323349,0.9776714513556619,0.48580031170925375,0.022328548644338087,0.09656073528323349
22,LogisticRegression,0.13218737536384087,0.22480885540443252,346,7,3.28024468035746,0.4395473066171981,0.5306382120990703,0.08636977058029693,0.0849769325743524,0.9136302294197031,0.46936178790092975,0.08636977058029693,0.0849769325743524
23,LogisticRegression,0.11444682032324735,0.13428283846533368,420,10,2.4338629141770904,0.34634762381005185,0.5266122675228473,0.06784443626548886,0.08706668325917154,0.9321555637345111,0.4733877324771527,0.06784443626548886,0.08706668325917154
24,LogisticRegression,0.12001913440860316,0.039230367060617145,362,7,3.4257162386383597,0.30367882064665186,0.5080500894454383,0.00920132499079862,0.08637366579618885,0.9907986750092014,0.4919499105545617,0.00920132499079862,0.08637366579618885
25,LogisticRegression,0.00014711676743602237,0.05156084902913773,61,8,1.391336642604006,0.5363571772752966,0.6404689316579262,0.2680652680652681,0.19371350398929577,0.7319347319347319,0.3595310683420738,0.2680652680652681,0.19371350398929577
26,LogisticRegression,0.6490728279563946,0.11299288210203001,445,10,1.8970772378422391,0.32072941472897076,0.5357817747270744,0.09397619923935707,0.06518532540189663,0.9060238007606429,0.46421822527292556,0.09397619923935707,0.06518532540189663
27,LogisticRegression,0.05346676975436892,0.06657411588229807,171,7,3.28024468035746,0.4589149162241469,0.539248010423903,0.10011041589988956,0.09854460649710439,0.8998895841001104,0.460751989576097,0.10011041589988956,0.09854460649710439
28,LogisticRegression,6.548060708583787,0.007584983411141305,397,2,3.989883752535026,0.3948907166943978,0.5141996882907462,0.022328548644338087,0.05231457564509991,0.9776714513556619,0.48580031170925375,0.022328548644338087,0.05231457564509991
