solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
1,RandomForest,1,7.709101447600708,0.2979090137876664,50,2,2.8086320649440477,0.35435790852961313,0.5,0.0,0.3,1.0,0.5,0.0,0.3
2,XGBoost,2,8.017519484025899,0.29980646270044453,53,2,2.468867039523839,0.6994065680788689,0.6675293262256905,0.2822966507177034,0.2517978783951788,0.7177033492822966,0.3324706737743095,0.2822966507177034,0.2517978783951788
3,XGBoost,2,5.263962812781974,0.07563679034050043,118,7,1.5157357714299629,0.6059728354336505,0.65322345522149,0.23040117776959884,0.5552730437790031,0.7695988222304011,0.34677654477851005,0.23040117776959884,0.5552730437790031
4,XGBoost,2,4.685578090322857,0.07563679034050043,183,7,1.5157357714299629,0.6045640107213861,0.653671582266407,0.231750705434916,0.5913841548901142,0.7682492945650841,0.346328417733593,0.231750705434916,0.5913841548901142
5,RandomForest,1,7.663650278978354,0.2898790635817226,50,2,2.5021191017904205,0.4086666154718028,0.5,0.0,0.3,1.0,0.5,0.0,0.3
6,LogisticRegression,0,9.999999999977785,0.2593845650031221,388,2,2.5086934075443494,0.6576668381182847,0.6441547316096939,0.27591706539074956,0.051552208841385956,0.7240829346092504,0.35584526839030606,0.27591706539074956,0.051552208841385956
7,XGBoost,2,9.963145049590072,0.29999924016891527,50,2,1.1726744930174955,0.6957349401522184,0.6265266014692807,0.16488774383511223,0.25000051513971844,0.8351122561648878,0.37347339853071926,0.16488774383511223,0.25000051513971844
8,LogisticRegression,0,0.005390475970746267,0.2993593398565406,156,2,2.2207361228291624,0.37052598693283834,0.5417082099034277,0.10464973622868357,0.13515061250167756,0.8953502637713164,0.4582917900965723,0.10464973622868357,0.13515061250167756
9,XGBoost,2,6.2266331015997665,0.2885302731876398,295,9,1.4141753334280276,0.6546947745177377,0.5947563736623678,0.129677340203656,0.5554256586240541,0.870322659796344,0.4052436263376322,0.129677340203656,0.5554256586240541
10,XGBoost,2,4.9729213264458,0.08107780102015971,55,7,1.9502947307159095,0.685756242727538,0.6569164540012886,0.23972518709360813,0.5165842229792341,0.7602748129063919,0.3430835459987114,0.23972518709360813,0.5165842229792341
