solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,eo_violation,demographic_parity,equalized_odds,obj1_min,obj2_min,obj3_min
1,XGBoost,2,9.92191970333956,0.01508959538043287,148,5,4.591319961592177,0.3433586502579709,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0
2,XGBoost,2,9.029339838013946,0.015115122502896938,130,12,4.589774888537803,0.32934352485980956,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0
3,RandomForest,1,4.961266300963401,0.02488618790815346,155,8,1.2673333160547,0.49665960012406624,0.6538839476933156,0.3105140473561526,0.2819391976974276,0.6894859526438474,0.7180608023025724,0.3461160523066844,0.3105140473561526,0.2819391976974276
4,XGBoost,2,9.949335111761698,0.06720151175692511,148,5,1.1901243676203614,0.5501573157768407,0.6638435262739226,0.24696356275303638,0.2520777118186724,0.7530364372469636,0.7479222881813277,0.3361564737260774,0.24696356275303638,0.2520777118186724
5,XGBoost,2,0.2175955627045164,0.016406404909440352,142,8,4.906253249719716,0.528191818924005,0.5674242233364408,0.11090663722242677,0.13043758043758036,0.8890933627775732,0.8695624195624196,0.4325757766635592,0.11090663722242677,0.13043758043758036
6,XGBoost,2,0.09938800588734431,0.1685091627007952,154,12,1.5012591273902078,0.6624059298202307,0.5979976459832339,0.12513801987486195,0.14786832164058283,0.874861980125138,0.8521316783594172,0.4020023540167661,0.12513801987486195,0.14786832164058283
7,RandomForest,1,1.1425870293316043,0.045042042566171725,405,8,1.2673333160547,0.49665960012406624,0.6524315841381023,0.30793767635872893,0.28452959165317504,0.6920623236412711,0.715470408346825,0.3475684158618977,0.30793767635872893,0.28452959165317504
8,XGBoost,2,0.29882727024215516,0.06764897723116244,129,8,1.1586845175576619,0.5352449085770733,0.6383542759238796,0.2281928597718072,0.26902320561252024,0.7718071402281927,0.7309767943874798,0.3616457240761204,0.2281928597718072,0.26902320561252024
9,XGBoost,2,1.4194407812088459,0.17818914750821108,121,12,1.8021914342823344,0.6656026158173143,0.6072751356079231,0.13409397619923935,0.14574563770462312,0.8659060238007606,0.8542543622953769,0.3927248643920769,0.13409397619923935,0.14574563770462312
10,XGBoost,2,0.9836943341755823,0.06981345973255061,127,7,1.298588366634031,0.5352437092212852,0.6585847823974258,0.25898662740768,0.2772441086526354,0.74101337259232,0.7227558913473646,0.3414152176025742,0.25898662740768,0.2772441086526354
11,LogisticRegression,0,9.590055137494955,0.019749518226050998,329,12,2.468508419609903,0.3265461414163171,0.5238155228328828,0.045515887621150775,0.05827541827541838,0.9544841123788492,0.9417245817245816,0.4761844771671172,0.045515887621150775,0.05827541827541838
12,XGBoost,2,0.211395895776329,0.07286821359021743,126,11,1.8015325637646868,0.6382433900890364,0.6256087508953543,0.1734756471598577,0.18244288541104514,0.8265243528401423,0.8175571145889549,0.3743912491046457,0.1734756471598577,0.18244288541104514
13,XGBoost,2,8.92054577654471,0.07495347289243541,134,12,1.7999860646768355,0.6642108055725453,0.638692620841327,0.21101705312231628,0.22032739701385146,0.7889829468776837,0.7796726029861485,0.36130737915867295,0.21101705312231628,0.22032739701385146
14,XGBoost,2,1.0055884948329834,0.06764897723116244,127,7,1.1586845175576619,0.5352449085770733,0.6522174190041862,0.22488038277511962,0.2365533369311027,0.7751196172248804,0.7634466630688973,0.34778258099581383,0.22488038277511962,0.2365533369311027
15,XGBoost,2,1.324967068352971,0.1685091627007952,154,12,1.5012591273902078,0.6622506332664514,0.6117474075220555,0.12219359587780637,0.14574563770462312,0.8778064041221936,0.8542543622953769,0.3882525924779445,0.12219359587780637,0.14574563770462312
16,XGBoost,2,9.92191970333956,0.01508959538043287,332,5,4.590455421609473,0.33257982361281674,0.4988823819482189,0.006993006993006978,0.0117647058823529,0.993006993006993,0.9882352941176471,0.5011176180517811,0.006993006993006978,0.0117647058823529
17,XGBoost,2,0.7291718419697419,0.04211869091700298,175,5,2.4206201526417037,0.3243990621395858,0.5342160296303762,0.07213838792786165,0.08619047619047626,0.9278616120721384,0.9138095238095237,0.4657839703696238,0.07213838792786165,0.08619047619047626
18,LogisticRegression,0,9.92191970333956,0.12527577358480704,158,12,2.4141563723778336,0.32711005885221506,0.5263873041468848,0.053245000613421745,0.06652509652509653,0.9467549993865783,0.9334749034749035,0.47361269585311516,0.053245000613421745,0.06652509652509653
19,LogisticRegression,0,6.575680716504924,0.06219936708816692,334,6,3.3486505162635756,0.3418090305022258,0.5124107795250933,0.021592442645074317,0.02913770913770919,0.9784075573549257,0.9708622908622908,0.4875892204749067,0.021592442645074317,0.02913770913770919
20,XGBoost,2,6.347219728173908,0.16830592319410875,302,6,1.1232713382717576,0.47468695569294495,0.6378989500509318,0.22537112010796218,0.23606763806440012,0.7746288798920378,0.7639323619355999,0.3621010499490682,0.22537112010796218,0.23606763806440012
21,XGBoost,2,1.4371035059728912,0.014804586686825081,185,7,4.956771735577631,0.5282414390250121,0.5526648261663001,0.09581646423751689,0.11410553410553415,0.9041835357624831,0.8858944658944659,0.4473351738336999,0.09581646423751689,0.11410553410553415
22,XGBoost,2,1.0005575225596282,0.035851943423248774,175,5,4.583284165513512,0.5283823997351708,0.5621690788739593,0.09618451723714883,0.11060489060489065,0.9038154827628512,0.8893951093951094,0.4378309211260407,0.09618451723714883,0.11060489060489065
23,XGBoost,2,0.7579670311357337,0.06965141976353104,184,7,4.539241649922753,0.3225383770294192,0.5375706834927274,0.06330511593669486,0.06619047619047624,0.9366948840633051,0.9338095238095238,0.4624293165072726,0.06330511593669486,0.06619047619047624
24,XGBoost,2,1.0069245402951303,0.17699267758181078,129,12,1.4092898830483112,0.6554825438537359,0.6124204979429348,0.11458716721874612,0.14198596869940633,0.8854128327812538,0.8580140313005937,0.38757950205706515,0.11458716721874612,0.14198596869940633
25,LogisticRegression,0,9.516426018007765,0.0719296973485939,127,14,4.568311123841607,0.3271762622130929,0.5035778175313059,0.005398110661268496,0.00824967824967826,0.9946018893387315,0.9917503217503217,0.4964221824686941,0.005398110661268496,0.00824967824967826
26,XGBoost,2,0.8436809724240012,0.0675545234235168,157,8,1.1695362931393272,0.4957979173833217,0.6565709102558104,0.22402159244264508,0.23300953408886493,0.7759784075573549,0.7669904659111351,0.3434290897441896,0.22402159244264508,0.23300953408886493
27,XGBoost,2,1.2290448819927828,0.03960809657803842,393,8,1.9545991158059772,0.6627400591694388,0.6370134942031437,0.20917678812415652,0.22102896204353306,0.7908232118758435,0.7789710379564669,0.3629865057968563,0.20917678812415652,0.22102896204353306
28,XGBoost,2,0.22632934411218178,0.016406404909440352,142,7,4.906253249719716,0.528191818924005,0.5582547161322137,0.09262667157404003,0.11516087516087514,0.90737332842596,0.8848391248391249,0.44174528386778633,0.09262667157404003,0.11516087516087514
29,LogisticRegression,0,9.590055137494955,0.03634162138616091,329,12,2.468508419609903,0.316981720907114,0.5203492871360542,0.03545577229787755,0.04616473616473615,0.9645442277021224,0.9538352638352638,0.4796507128639458,0.03545577229787755,0.04616473616473615
30,XGBoost,2,1.4389315249622328,0.01629207521214098,142,7,4.956771735577631,0.5282414390250121,0.5495333359729037,0.0913998282419336,0.11918918918918919,0.9086001717580664,0.8808108108108108,0.45046666402709634,0.0913998282419336,0.11918918918918919
31,XGBoost,2,1.2267813277637931,0.08349449815216722,430,6,1.8198422873742046,0.6627338918943794,0.6246063140920658,0.2000981474665685,0.21091923007735203,0.7999018525334315,0.789080769922648,0.3753936859079342,0.2000981474665685,0.21091923007735203
32,XGBoost,2,0.25339521296940903,0.08316443051822014,169,7,1.26150058303291,0.535188527971219,0.6384640580513492,0.22316280211017048,0.2339629429753553,0.7768371978898295,0.7660370570246446,0.3615359419486508,0.22316280211017048,0.2339629429753553
